3,250.00
5,53.08
17,53.28
38,53.63
64,54.06
89,54.47
124,55.05
143,55.36
170,55.81
200,56.30
223,56.68
251,57.14
280,57.62
308,58.08
327,58.40
354,58.84
384,59.34
418,59.90
449,60.41
477,60.87
498,61.22
524,61.65
554,62.14
588,62.70
620,63.23
652,63.76
683,64.27
714,64.78
740,65.21
763,65.59
787,65.99
812,66.40
829,66.68
849,67.01
873,67.41
899,67.84
932,68.38
964,68.91
991,69.35
1017,69.78
1051,70.34
1080,70.82
1100,71.15
1125,71.57
1148,71.94
1172,72.34
1202,72.84
1237,73.41
1271,73.97
1301,74.47
1320,74.78
1340,75.00
1358,75.00
1376,75.00
1401,75.00
1423,75.00
1444,75.00
1472,75.00
1501,75.00
1526,75.00
1555,75.00
1587,75.00
1618,75.00
1645,75.00
1674,75.00
1699,75.00
1732,75.00
1764,75.00
1796,75.00
